File,Cosine,BERT
10_HBMS.docx,0.7063919103516351,0.8260893705879313
10_HBMS.docx,0.682577419420831,0.8439504799826844
10_HBMS.docx,0.6825653691035038,0.8060467675230624
10_HBMS.docx,0.7011595015893367,0.8244525108312075
10_HBMS.docx,0.709657222798898,0.8093259571706501
10_HBMS.docx,0.6886965139587848,0.8424712834977807
10_HBMS.docx,0.7105675107101073,0.8355692018713639
10_HBMS.docx,0.6873006674466076,0.8403297012373377
10_HBMS.docx,0.7114588726633548,0.8094534499161428
10_HBMS.docx,0.7073287723130702,0.8189676230525406
07_OTS.docx,0.7744476135503341,0.9088739351119868
07_OTS.docx,0.7613447197507456,0.9021392367854096
07_OTS.docx,0.7696750811547999,0.896977249716558
07_OTS.docx,0.7455987267157024,0.8965740535034433
07_OTS.docx,0.7721709717925294,0.9049484013808036
07_OTS.docx,0.7761088127522772,0.9107939977796
07_OTS.docx,0.7676390574255897,0.8989157890407071
07_OTS.docx,0.7768369298251862,0.8963589444307469
07_OTS.docx,0.7609498896314871,0.909156205520206
07_OTS.docx,0.7616440139143424,0.9131174236250134
06_SHAS.docx,0.7867470197715123,0.911112103452728
06_SHAS.docx,0.8177723228525241,0.8841786260278832
06_SHAS.docx,0.7934954673196868,0.8761063610929537
06_SHAS.docx,0.8198093058479032,0.9046314483966392
06_SHAS.docx,0.7983294944990433,0.8930544515238853
06_SHAS.docx,0.8133360103611774,0.907871406375945
06_SHAS.docx,0.8041263730970764,0.8852842451577794
06_SHAS.docx,0.7896290689403441,0.8993789528725133
06_SHAS.docx,0.7996129393413617,0.9114936095472104
06_SHAS.docx,0.8067578852013889,0.9082388903445516
01_BTMS.docx,0.6433713302545963,0.8228995484113878
01_BTMS.docx,0.6449720657083537,0.8166608787077633
01_BTMS.docx,0.648128634360859,0.8345162912318306
01_BTMS.docx,0.6374546055496098,0.830587827435848
01_BTMS.docx,0.6665436795494976,0.8030040792879469
01_BTMS.docx,0.6483913207237016,0.7986058923517078
01_BTMS.docx,0.6523129167244924,0.8016606397543734
01_BTMS.docx,0.6476956806317041,0.818999689588671
01_BTMS.docx,0.654098445693974,0.8230456547736102
01_BTMS.docx,0.6322560521968736,0.8046060459352156
03_LabTracker.docx,0.7513161303980713,0.9199341069446428
03_LabTracker.docx,0.7449016034251882,0.9299339702333156
03_LabTracker.docx,0.7544676641344846,0.9245431842940374
03_LabTracker.docx,0.7461326329637172,0.9326140763569988
03_LabTracker.docx,0.7684920600041805,0.9320939922748004
03_LabTracker.docx,0.7402850760080333,0.9426501844104082
03_LabTracker.docx,0.7443238471499661,0.9203734584858916
03_LabTracker.docx,0.7462816310215751,0.9162319395876288
03_LabTracker.docx,0.7404735167794023,0.9173593257557204
03_LabTracker.docx,0.7429093436830713,0.9367819360564524
04_CelO.docx,0.6111359996318861,0.899432148561614
04_CelO.docx,0.6052439249345326,0.8977378527083658
04_CelO.docx,0.60822314085328,0.885194155960789
04_CelO.docx,0.6126361125640185,0.8807621649739746
04_CelO.docx,0.6009896852695537,0.8917770656753771
04_CelO.docx,0.6077979305724719,0.8899314509988703
04_CelO.docx,0.600832090126044,0.900835645243818
04_CelO.docx,0.6128871237178073,0.8977585803340069
04_CelO.docx,0.5875785350733607,0.8770835788372198
04_CelO.docx,0.6173627310905766,0.8955108703038008
09_TileO.docx,0.7751539391350836,0.9046487024078388
09_TileO.docx,0.7836749705412513,0.9107142381623444
09_TileO.docx,0.7626348340248056,0.8867131461381025
09_TileO.docx,0.7608412066467065,0.9164680437327872
09_TileO.docx,0.7653048647902353,0.9099414021304578
09_TileO.docx,0.7637983799166939,0.916883032184102
09_TileO.docx,0.7858760899896435,0.9102924709602744
09_TileO.docx,0.7866547556567791,0.8946778843812035
09_TileO.docx,0.7918991963985704,0.9111519908287048
09_TileO.docx,0.7920173812330723,0.9147192792605724
02_H2S.docx,0.6040134447576453,0.8153180651772305
02_H2S.docx,0.5875745710808754,0.805192149371239
02_H2S.docx,0.5886853646835586,0.8042957574445176
02_H2S.docx,0.6015516067344674,0.7936809236908743
02_H2S.docx,0.6069479134345996,0.7878760495652529
02_H2S.docx,0.6201097110318912,0.8043345729221266
02_H2S.docx,0.6062180695795186,0.7973710386057062
02_H2S.docx,0.609572188207939,0.8164814372113779
02_H2S.docx,0.6163158914688988,0.8198893883373801
02_H2S.docx,0.6238802202072435,0.8093193107215672
05_TSS.docx,0.7802724796470513,0.8836480938687621
05_TSS.docx,0.7784701833328336,0.9098804043573324
05_TSS.docx,0.7845007652106594,0.8956276663767837
05_TSS.docx,0.7749839498531433,0.9020007886855324
05_TSS.docx,0.7967743990853875,0.8914397983857811
05_TSS.docx,0.7976395212154866,0.8816126359784674
05_TSS.docx,0.7925097873308348,0.8827783145518958
05_TSS.docx,0.7958604552721589,0.8977545379752058
05_TSS.docx,0.7905159574578506,0.8871068594322673
05_TSS.docx,0.7927510173266045,0.9201841134870486
08_Block.docx,0.7470802971296134,0.931161563555261
08_Block.docx,0.7684151482836656,0.941769261134666
08_Block.docx,0.7670599720809871,0.909310013903254
08_Block.docx,0.7652961788475678,0.9111106200411117
08_Block.docx,0.7420503540809139,0.9294866078467968
08_Block.docx,0.7449589155398855,0.925873446853044
08_Block.docx,0.7640770406316771,0.9109887880552368
08_Block.docx,0.7416869595122516,0.934254987304088
08_Block.docx,0.7577592306505748,0.9118354352273266
08_Block.docx,0.7647519774951352,0.9466210879279
